Sample ID,Latitude,Longitude,mtDNA Ance,Dist.to.HZcenter,Region,TotalClineDist,ClineCenterLoc,ScaledClineLocation,mtDNA
S18-1250,38.5636,-121.8572,native SVRF,19.76371072,SacramentoValley,631.78,421.85,0.698999194,1
S18-1251,38.5636,-121.8572,native SVRF,19.76371072,SacramentoValley,631.78,421.85,0.698999194,1
S18-2128,38.5637,-121.857,native SVRF,19.77272021,SacramentoValley,631.78,421.85,0.699013454,1
S19-1769,38.5638,-121.8575,native SVRF,19.78881299,SacramentoValley,631.78,421.85,0.699038927,1
S19-1770,38.5638,-121.8575,native SVRF,19.78881299,SacramentoValley,631.78,421.85,0.699038927,1
S17-1524,38.5639,-121.8577,native SVRF,19.80188888,SacramentoValley,631.78,421.85,0.699059623,1
S07-0168,38.677,-121.83,native SVRF,21.04709978,SacramentoValley,631.78,421.85,0.70103058,1
S09-0776,38.5765,-121.8699,native SVRF,21.35720083,SacramentoValley,631.78,421.85,0.701521417,1
S18-3896,38.502,-122.0346,native SVRF,21.42536895,SacramentoValley,631.78,421.85,0.701629316,1
S18-1284,38.5024,-122.0348,native SVRF,21.46634632,SacramentoValley,631.78,421.85,0.701694176,1
S08-0112,38.6779,-121.8394,native SVRF,21.84841991,SacramentoValley,631.78,421.85,0.702298933,1
S08-0254,38.6641,-121.86,native SVRF,22.46981468,SacramentoValley,631.78,421.85,0.703282495,1
S08-0255,38.6641,-121.86,native SVRF,22.46981468,SacramentoValley,631.78,421.85,0.703282495,1
S08-0256,38.6641,-121.86,native SVRF,22.46981468,SacramentoValley,631.78,421.85,0.703282495,1
S19-5762,38.6718,-121.8581,native SVRF,22.78692668,SacramentoValley,631.78,421.85,0.703784429,1
S16-1411,38.6712,-121.8696,native SVRF,23.59429066,SacramentoValley,631.78,421.85,0.705062349,1
S16-1412,38.6712,-121.8696,native SVRF,23.59429066,SacramentoValley,631.78,421.85,0.705062349,1
S08-0084,38.6714,-121.8707,native SVRF,23.68733979,SacramentoValley,631.78,421.85,0.70520963,1
S09-0595,38.6714,-121.8707,native SVRF,23.68733979,SacramentoValley,631.78,421.85,0.70520963,1
S10-0268,38.6718,-121.8708,native SVRF,23.71814516,SacramentoValley,631.78,421.85,0.705258389,1
S10-0270,38.6718,-121.8708,native SVRF,23.71814516,SacramentoValley,631.78,421.85,0.705258389,1
S08-0026,38.7448,-121.785,native SVRF,23.98481763,SacramentoValley,631.78,421.85,0.705680486,1
S15-1696,38.8099,-121.6343,native SVRF,26.10467182,SacramentoValley,631.78,421.85,0.709035854,1
S16-1296,38.8115,-121.6348,nonnative,26.28730778,SacramentoValley,631.78,421.85,0.709324936,0
S16-0005,38.8117,-121.6348,native SVRF,26.30910483,SacramentoValley,631.78,421.85,0.709359437,1
S08-0079,38.8059,-121.7007,native SVRF,26.93092929,SacramentoValley,631.78,421.85,0.710343679,1
S10-0666,38.7021,-121.904,native SVRF,27.97851054,SacramentoValley,631.78,421.85,0.712001821,1
S08-0366,38.7008,-121.9075,native SVRF,28.14885623,SacramentoValley,631.78,421.85,0.712271449,1
s09-0912,38.8575,-121.4885,native SVRF,28.26421667,SacramentoValley,631.78,421.85,0.712454045,1
S11-0228,38.8211,-121.7142,native SVRF,28.86916186,SacramentoValley,631.78,421.85,0.71341157,1
S11-0354,38.7159,-121.906,native SVRF,29.01425168,SacramentoValley,631.78,421.85,0.713641223,1
S09-0811,38.8277,-121.7186,native SVRF,29.67951884,SacramentoValley,631.78,421.85,0.714694227,1
S15-1966,38.8954,-121.4127,native SVRF,31.09441413,SacramentoValley,631.78,421.85,0.716933765,1
S08-0761,38.8417,-121.7195,native SVRF,31.19453513,SacramentoValley,631.78,421.85,0.71709224,1
S09-0166,38.8466,-121.728,native SVRF,31.9233538,SacramentoValley,631.78,421.85,0.718245835,1
S11-0347,38.6793,-121.9492,native SVRF,34.01112048,SacramentoValley,631.78,421.85,0.721550414,1
S09-0752,38.7591,-121.9498,native SVRF,34.86905332,SacramentoValley,631.78,421.85,0.722908375,1
S08-0032,38.9992,-121.3496,nonnative,36.4849244,SacramentoValley,631.78,421.85,0.725466024,0
S08-0277,38.6833,-122.0277,native SVRF,37.03596225,SacramentoValley,631.78,421.85,0.726338223,1
S18-1501,38.6771,-122.0589,native SVRF,37.71669214,SacramentoValley,631.78,421.85,0.727415702,1
S18-1500,38.68,-122.0542,native SVRF,37.79115258,SacramentoValley,631.78,421.85,0.72753356,1
S09-0608,38.8083,-121.9399,native SVRF,37.9187617,SacramentoValley,631.78,421.85,0.727735544,1
S16-1391,38.8141,-121.9351,native SVRF,38.09950769,SacramentoValley,631.78,421.85,0.728021634,1
S16-1392,38.8145,-121.9352,native SVRF,38.13796204,SacramentoValley,631.78,421.85,0.7280825,1
S08-0085,38.815,-121.9365,native SVRF,38.25546786,SacramentoValley,631.78,421.85,0.728268492,1
S08-0086,38.815,-121.9365,native SVRF,38.25546786,SacramentoValley,631.78,421.85,0.728268492,1
S09-0126,38.815,-121.9365,native SVRF,38.25546786,SacramentoValley,631.78,421.85,0.728268492,1
S19-4934,39.006,-121.5771,native SVRF,45.34111562,SacramentoValley,631.78,421.85,0.739483864,1
S10-0295,38.76,-122.0534,native SVRF,45.61194806,SacramentoValley,631.78,421.85,0.739912546,1
S10-0191,38.7602,-122.0534,native SVRF,45.63215566,SacramentoValley,631.78,421.85,0.739944531,1
S10-0166,38.7606,-122.0545,native SVRF,45.71222224,SacramentoValley,631.78,421.85,0.740071263,1
S10-0188,38.7606,-122.0545,native SVRF,45.71222224,SacramentoValley,631.78,421.85,0.740071263,1
S10-0291,38.7603,-122.0557,native SVRF,45.72540126,SacramentoValley,631.78,421.85,0.740092123,1
S10-0334,38.9627,-121.8436,native SVRF,47.58225876,SacramentoValley,631.78,421.85,0.743031211,1
S16-0007,39.0243,-121.8172,native SVRF,53.20408492,SacramentoValley,631.78,421.85,0.751929604,1
S09-0202,38.9259,-122.0612,native SVRF,54.6423603,SacramentoValley,631.78,421.85,0.754206148,1
S10-0251,38.9259,-122.0612,native SVRF,54.6423603,SacramentoValley,631.78,421.85,0.754206148,1
S10-0252,38.9259,-122.0612,native SVRF,54.6423603,SacramentoValley,631.78,421.85,0.754206148,1
S19-1799,39.0974,-121.6339,native SVRF,56.28797839,SacramentoValley,631.78,421.85,0.756810881,1
S09-0221,39.0705,-121.8844,native SVRF,59.99701944,SacramentoValley,631.78,421.85,0.76268166,1
S10-0260,39.0705,-121.8844,native SVRF,59.99701944,SacramentoValley,631.78,421.85,0.76268166,1
S10-0261,39.0705,-121.8844,native SVRF,59.99701944,SacramentoValley,631.78,421.85,0.76268166,1
S13-0338,39.0705,-121.8844,native SVRF,59.99701944,SacramentoValley,631.78,421.85,0.76268166,1
S09-0325,39.0718,-121.8894,native SVRF,60.29157595,SacramentoValley,631.78,421.85,0.763147893,1
S15-0888,38.9707,-122.1005,native SVRF,60.61655576,SacramentoValley,631.78,421.85,0.763662281,1
S15-0889,38.9707,-122.1005,native SVRF,60.61655576,SacramentoValley,631.78,421.85,0.763662281,1
S16-1496,38.9707,-122.1005,native SVRF,60.61655576,SacramentoValley,631.78,421.85,0.763662281,1
S16-1497,38.9707,-122.1005,native SVRF,60.61655576,SacramentoValley,631.78,421.85,0.763662281,1
S17-2547,39.0792,-121.8955,native SVRF,61.25112414,SacramentoValley,631.78,421.85,0.764666694,1
S14-2908,39.1409,-121.8419,native SVRF,66.05277039,SacramentoValley,631.78,421.85,0.772266881,1
S09-0034,39.1571,-121.7649,native SVRF,66.20858555,SacramentoValley,631.78,421.85,0.77251351,1
S12-0188,39.1675,-121.7351,native SVRF,66.91621252,SacramentoValley,631.78,421.85,0.773633563,1
s10-1086,39.145,-121.9082,native SVRF,68.45386495,SacramentoValley,631.78,421.85,0.776067405,1
S09-0155,39.2325,-121.6793,native SVRF,71.77233123,SacramentoValley,631.78,421.85,0.781319971,1
S16-1654,39.2325,-121.6793,native SVRF,71.77233123,SacramentoValley,631.78,421.85,0.781319971,1
S16-1655,39.2325,-121.6793,native SVRF,71.77233123,SacramentoValley,631.78,421.85,0.781319971,1
S11-0225,39.1746,-121.9387,native SVRF,72.47113087,SacramentoValley,631.78,421.85,0.782426052,1
S11-0226,39.1746,-121.9387,native SVRF,72.47113087,SacramentoValley,631.78,421.85,0.782426052,1
S10-0664,39.1396,-122.1439,native SVRF,77.71422248,SacramentoValley,631.78,421.85,0.790724971,1
S09-0798,39.1387,-122.1457,native SVRF,77.72056015,SacramentoValley,631.78,421.85,0.790735003,1
S17-2079,39.1396,-122.1756,native SVRF,79.30286808,SacramentoValley,631.78,421.85,0.793239527,1
S17-2080,39.1396,-122.1756,native SVRF,79.30286808,SacramentoValley,631.78,421.85,0.793239527,1
S09-0761,39.15,-122.1645,native SVRF,79.68003339,SacramentoValley,631.78,421.85,0.793836515,1
S15-0823,39.2201,-122.0169,native SVRF,79.78787103,SacramentoValley,631.78,421.85,0.794007203,1
S16-1405,39.2201,-122.0169,native SVRF,79.78787103,SacramentoValley,631.78,421.85,0.794007203,1
S17-2573,39.2203,-122.0164,native SVRF,79.78981215,SacramentoValley,631.78,421.85,0.794010276,1
S14-2255,39.2202,-122.0167,native SVRF,79.79065747,SacramentoValley,631.78,421.85,0.794011614,1
S14-2256,39.2203,-122.0166,native SVRF,79.79708695,SacramentoValley,631.78,421.85,0.794021791,1
S17-2574,39.2204,-122.0165,native SVRF,79.8035184,SacramentoValley,631.78,421.85,0.794031971,1
S15-0826,39.2206,-122.0174,native SVRF,79.85641324,SacramentoValley,631.78,421.85,0.794115694,1
